experiment,model,imgsz,epochs,batch,mAP50,mAP50-95,precision,recall,training_time_min,best_model_path,status,sahi_detections,sahi_time_per_img,sahi_slice_size,sahi_precision,sahi_recall,sahi_mAP50
boca_baseline_s_640_e100,yolo26s.pt,640,100,16,0.2828149005234619,0.18329595166092466,0.4515299691142845,0.26683399166118055,4.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_baseline_s_640_e100/weights/best.pt,success,,,,,,
boca_imgsz_512,yolo26s.pt,512,100,16,0.26841023482302195,0.17538435880937348,0.564204951588979,0.2679243289312824,5.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_imgsz_512/weights/best.pt,success,,,,,,
boca_imgsz_768,yolo26s.pt,768,100,8,0.34428009531066156,0.20949650734145306,0.5146759075714032,0.22822582935590402,19.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_imgsz_7682/weights/best.pt,success,232.0,1.516,768.0,0.6595,0.715,0.6234
boca_imgsz_1024,yolo26s.pt,1024,100,4,0.35153145530466146,0.21755302530388163,0.4326771952926679,0.2611321550555373,31.0,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_imgsz_1024/weights/best.pt,success,239.0,1.315,1024.0,0.6318,0.7056,0.6139
boca_epochs_50,yolo26s.pt,640,50,16,0.2807898379725494,0.18118478756813927,0.4757785231092734,0.22187285670714224,8.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_epochs_50/weights/best.pt,success,259.0,1.515,640.0,0.5985,0.7243,0.6167
boca_epochs_150,yolo26s.pt,640,150,16,0.27692403532104615,0.16583037239696555,0.42794107604943,0.21041612936427767,15.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_epochs_150/weights/best.pt,success,363.0,1.607,640.0,0.4353,0.7383,0.5403
boca_epochs_200,yolo26s.pt,640,200,16,0.3188303936217145,0.17760663546154648,0.6415307724725248,0.2649963387332944,20.3,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_epochs_200/weights/best.pt,success,281.0,1.539,640.0,0.5979,0.785,0.6051
boca_model_nano,yolo26n.pt,640,100,16,0.1684379837997176,0.12505167684794594,0.4959440127040668,0.1365643432398316,15.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_model_nano/weights/best.pt,success,259.0,1.49,640.0,0.6062,0.7336,0.5534
boca_model_medium,yolo26m.pt,640,100,8,0.3758699053292271,0.22225444681017997,0.5191756401854396,0.30525316603724834,21.1,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_model_medium/weights/best.pt,success,275.0,1.555,640.0,0.6291,0.8084,0.6992
boca_model_large,yolo26l.pt,640,100,4,0.39709337341909506,0.2534226304217634,0.5512569888438164,0.24668346383432208,34.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/boca_raton_inlet_experiments_v1/boca_model_large/weights/best.pt,success,262.0,1.725,640.0,0.6031,0.7383,0.6356
