experiment,model,imgsz,epochs,batch,mAP50,mAP50-95,precision,recall,training_time_min,best_model_path,status,std_detections,std_time_per_img,sahi_detections,sahi_time_per_img,sahi_slice_size,detection_increase,detection_increase_pct
baseline_s_640_e100,yolo26s.pt,640,100,16,0.6608749206939448,0.2813503682438976,0.7290541035234218,0.6120202368568383,2.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/baseline_s_640_e1003/weights/best.pt,success,230,0.013,445,0.177,640,215,93.5
imgsz_512,yolo26s.pt,512,100,16,0.5397302980520013,0.2237427368932649,0.735112998129638,0.4666666666666667,2.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_5123/weights/best.pt,success,184,0.013,388,0.16,512,204,110.9
imgsz_768,yolo26s.pt,768,100,8,0.7227284390563824,0.32032414458046005,0.7391487720387209,0.6627450980392157,4.1,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_7682/weights/best.pt,success,247,0.013,349,0.219,768,102,41.3
imgsz_1024,yolo26s.pt,1024,100,4,0.820777115084221,0.37366153521456325,0.858277022222116,0.7362253757024999,7.0,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_10242/weights/best.pt,success,268,0.013,318,0.127,1024,50,18.7
epochs_50,yolo26s.pt,640,50,16,0.6559399877357776,0.277179269835926,0.6972209836691667,0.6274509803921569,1.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_50/weights/best.pt,success,238,0.012,572,0.174,640,334,140.3
epochs_150,yolo26s.pt,640,150,16,0.644374922525947,0.2667327232136703,0.8184974880902482,0.5450980392156862,3.8,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_150/weights/best.pt,success,201,0.012,408,0.179,640,207,103.0
epochs_200,yolo26s.pt,640,200,16,0.6282479387356601,0.27025215173983197,0.7689654053961262,0.5612544213851404,4.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_200/weights/best.pt,success,176,0.014,280,0.178,640,104,59.1
model_nano,yolo26n.pt,640,100,16,0.5469364813470968,0.21352264911460317,0.7043707916063701,0.49411764705882355,2.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_nano/weights/best.pt,success,183,0.012,507,0.175,640,324,177.0
model_medium,yolo26m.pt,640,100,8,0.6865231944549159,0.29238125579884133,0.7256813697172236,0.6509803921568628,4.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_medium/weights/best.pt,success,213,0.014,414,0.19,640,201,94.4
model_large,yolo26l.pt,640,100,4,0.6856278134771681,0.28894085865779734,0.7924409340203405,0.596078431372549,8.8,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_large/weights/best.pt,success,221,0.015,363,0.197,640,142,64.3
