experiment,model,imgsz,epochs,batch,mAP50,mAP50-95,precision,recall,training_time_min,best_model_path,status,std_detections,std_time_per_img,sahi_detections,sahi_time_per_img,sahi_slice_size,detection_increase,detection_increase_pct,sahi_precision,sahi_recall,sahi_mAP50
baseline_s_640_e100,yolo26s.pt,640,100,16,0.6608749206939448,0.2813503682438976,0.7290541035234218,0.6120202368568383,2.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/baseline_s_640_e1003/weights/best.pt,success,230,0.013,445,0.177,640,215,93.5,0.5729,0.7403,0.6091
imgsz_512,yolo26s.pt,512,100,16,0.5397302980520013,0.2237427368932649,0.735112998129638,0.4666666666666667,2.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_5123/weights/best.pt,success,184,0.013,388,0.16,512,204,110.9,0.4516,0.5455,0.442
imgsz_768,yolo26s.pt,768,100,8,0.7227284390563824,0.32032414458046005,0.7391487720387209,0.6627450980392157,4.1,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_7682/weights/best.pt,success,247,0.013,349,0.219,768,102,41.3,0.6275,0.7792,0.6549
imgsz_1024,yolo26s.pt,1024,100,4,0.820777115084221,0.37366153521456325,0.858277022222116,0.7362253757024999,7.0,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/imgsz_10242/weights/best.pt,success,268,0.013,318,0.127,1024,50,18.7,0.7514,0.8442,0.7727
epochs_50,yolo26s.pt,640,50,16,0.6559399877357776,0.277179269835926,0.6972209836691667,0.6274509803921569,1.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_50/weights/best.pt,success,238,0.012,572,0.174,640,334,140.3,0.3403,0.737,0.5686
epochs_150,yolo26s.pt,640,150,16,0.644374922525947,0.2667327232136703,0.8184974880902482,0.5450980392156862,3.8,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_150/weights/best.pt,success,201,0.012,408,0.179,640,207,103.0,0.5889,0.7208,0.6187
epochs_200,yolo26s.pt,640,200,16,0.6282479387356601,0.27025215173983197,0.7689654053961262,0.5612544213851404,4.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/epochs_200/weights/best.pt,success,176,0.014,280,0.178,640,104,59.1,0.7022,0.6737,0.5749
model_nano,yolo26n.pt,640,100,16,0.5469364813470968,0.21352264911460317,0.7043707916063701,0.49411764705882355,2.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_nano/weights/best.pt,success,183,0.012,507,0.175,640,324,177.0,0.4074,0.6607,0.4572
model_medium,yolo26m.pt,640,100,8,0.6865231944549159,0.29238125579884133,0.7256813697172236,0.6509803921568628,4.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_medium/weights/best.pt,success,213,0.014,414,0.19,640,201,94.4,0.5845,0.724,0.6274
model_large,yolo26l.pt,640,100,4,0.6856278134771681,0.28894085865779734,0.7924409340203405,0.596078431372549,8.8,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments/model_large/weights/best.pt,success,221,0.015,363,0.197,640,142,64.3,0.6397,0.7321,0.6405
796img_baseline_s_640_e100,yolo26s.pt,640,100,16,0.7230149525999309,0.3031036344691404,0.820806505731359,0.6543659460326127,6.0,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_baseline_s_640_e1002/weights/best.pt,success,576,0.014,873,0.206,640,297,51.6,0.5407,0.7662,0.6489
796img_imgsz_512,yolo26s.pt,512,100,16,0.6112085013825586,0.25176030947475364,0.7421585169789534,0.5665584415584416,5.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_imgsz_512/weights/best.pt,success,449,0.014,1094,0.195,512,645,143.7,0.383,0.6802,0.4901
796img_imgsz_768,yolo26s.pt,768,100,8,0.7954341228031679,0.3505467062405,0.8293079145148954,0.7571699134199134,9.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_imgsz_768/weights/best.pt,success,624,0.015,1016,0.253,768,392,62.8,0.5177,0.8539,0.7063
796img_imgsz_1024,yolo26s.pt,1024,100,4,0.857417833536909,0.41607643104922704,0.8462280211426969,0.8040300852800853,16.1,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_imgsz_1024/weights/best.pt,success,723,0.015,1082,0.147,1024,359,49.7,0.4991,0.8766,0.754
796img_epochs_50,yolo26s.pt,640,50,16,0.7055297191936244,0.29814423583945276,0.7802658649124296,0.6477272727272727,2.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_epochs_50/weights/best.pt,success,515,0.014,975,0.194,640,460,89.3,0.4769,0.7549,0.6087
796img_epochs_150,yolo26s.pt,640,150,16,0.7253661752985042,0.3081611276738109,0.8062673633198544,0.6607142857142857,8.3,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_epochs_150/weights/best.pt,success,556,0.014,1057,0.19,640,501,90.1,0.4541,0.7792,0.604
796img_epochs_200,yolo26s.pt,640,200,16,0.7125669700162779,0.3116026831044936,0.751252102134804,0.685064935064935,10.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_epochs_200/weights/best.pt,success,566,0.014,929,0.189,640,363,64.1,0.5005,0.7549,0.599
796img_model_nano,yolo26n.pt,640,100,16,0.6331102558230235,0.2388704609103666,0.7374512560832284,0.5836510211510211,5.2,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_model_nano/weights/best.pt,success,496,0.014,1258,0.19,640,762,153.6,0.3378,0.6899,0.4496
796img_model_medium,yolo26m.pt,640,100,8,0.7394594336682274,0.3227068152844974,0.8066482612198541,0.6772604585104585,9.1,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_model_medium/weights/best.pt,success,558,0.015,831,0.197,640,273,48.9,0.5728,0.7727,0.6321
796img_model_large,yolo26l.pt,640,100,4,0.7386018982417626,0.3129552284271099,0.8000897000132188,0.676948051948052,19.2,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_experiments_v2/796img_model_large/weights/best.pt,success,521,0.017,972,0.213,640,451,86.6,0.4774,0.7532,0.6049
sahi_window_baseline_s_e100,yolo26s.pt,1024,100,4,0.9152462522332167,0.47044324386564995,0.8975936346454649,0.8598993288590604,116.7,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_baseline_s_e100/weights/best.pt,success,444,0.017,633,0.137,1024,189,42.6,0.7441,0.7646,0.6834
sahi_window_epochs_50,yolo26s.pt,1024,50,4,0.9175895559921227,0.4829621139973107,0.8923633035905458,0.8531879194630873,57.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_epochs_50/weights/best.pt,success,444,0.017,637,0.151,1024,193,43.5,0.7488,0.7744,0.6794
sahi_window_epochs_150,yolo26s.pt,1024,150,4,0.9142832927285997,0.48007015011602905,0.8622564002112532,0.8741610738255033,127.8,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_epochs_150/weights/best.pt,success,504,0.018,655,0.151,1024,151,30.0,0.7344,0.7808,0.6779
sahi_window_epochs_200,yolo26s.pt,1024,200,4,0.9113724772786209,0.4791698598832773,0.8904360516082008,0.8386176654842762,172.6,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_epochs_2002/weights/best.pt,success,449,0.014,653,0.135,1024,204,45.4,0.7106,0.7532,0.6623
sahi_window_model_nano,yolo26n.pt,1024,100,8,0.8901281799985002,0.47556735689134266,0.8530295549016519,0.8521105362730691,59.9,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_model_nano2/weights/best.pt,success,452,0.014,681,0.137,1024,229,50.7,0.7048,0.7792,0.6709
sahi_window_model_medium,yolo26m.pt,1024,100,4,0.9025314010500183,0.47817201001706733,0.8737349515906564,0.8523489932885906,92.4,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_model_medium/weights/best.pt,success,452,0.015,620,0.138,1024,168,37.2,0.7742,0.7792,0.6782
sahi_window_model_large,yolo26l.pt,1024,100,2,0.913765863035572,0.48590189427700314,0.8911352522550312,0.8657718120805369,153.2,/blue/bsc4892/aileenlavelle/PBC_Object_Detection/runs/detect/jupiter_inlet_sahi_windowed/sahi_window_model_large/weights/best.pt,success,467,0.017,623,0.145,1024,156,33.4,0.7368,0.7451,0.6763
