epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8126,2.15424,3.41815,0.00373,0.73036,0.64812,0.71338,0.28141,2.09536,1.22679,0.00325,0.00065942,0.00065942,0.00065942
2,31.7667,2.15119,1.33851,0.00367,0.68889,0.58603,0.63527,0.26774,2.21171,1.30466,0.00344,0.00131296,0.00131296,0.00131296
3,39.6818,2.21893,1.30614,0.00392,0.74773,0.60026,0.6906,0.27662,2.38758,1.35454,0.00391,0.0019533,0.0019533,0.0019533
4,47.36,2.18147,1.195,0.00384,0.73715,0.60589,0.69404,0.27683,2.28698,1.39899,0.00389,0.0019406,0.0019406,0.0019406
5,55.0604,2.20656,1.2087,0.0038,0.67037,0.61061,0.64509,0.24706,2.32728,1.30325,0.00368,0.0019208,0.0019208,0.0019208
6,62.7731,2.14501,1.18561,0.00356,0.7036,0.66624,0.7025,0.28145,2.24468,1.17315,0.00346,0.001901,0.001901,0.001901
7,70.5432,2.10817,1.04471,0.00352,0.72628,0.64812,0.72374,0.33236,2.13283,1.26604,0.00348,0.0018812,0.0018812,0.0018812
8,78.3308,2.0189,0.95794,0.00344,0.81002,0.66235,0.75027,0.33502,2.12337,1.04951,0.00338,0.0018614,0.0018614,0.0018614
9,86.0928,2.05184,1.03522,0.00348,0.74338,0.65582,0.68369,0.25189,2.55319,1.19192,0.0044,0.0018416,0.0018416,0.0018416
10,93.8591,2.07819,0.9962,0.00347,0.78773,0.69611,0.74871,0.32062,2.12295,1.06058,0.00327,0.0018218,0.0018218,0.0018218
11,101.602,2.01019,0.97709,0.00338,0.85564,0.69211,0.79317,0.36182,2.15835,1.13273,0.00349,0.001802,0.001802,0.001802
12,109.394,2.00472,0.95561,0.00334,0.74917,0.74186,0.75248,0.3214,2.1029,1.06273,0.00329,0.0017822,0.0017822,0.0017822
13,117.131,1.94691,0.90621,0.00324,0.76682,0.70116,0.75559,0.34653,2.0866,1.01354,0.00328,0.0017624,0.0017624,0.0017624
14,124.86,1.94652,0.90934,0.00321,0.84164,0.69211,0.79515,0.34561,2.07541,1.04541,0.00318,0.0017426,0.0017426,0.0017426
15,132.568,1.91667,0.91134,0.0032,0.8294,0.72328,0.8083,0.36278,2.08598,1.03771,0.00332,0.0017228,0.0017228,0.0017228
16,140.377,1.9131,0.88299,0.00317,0.79144,0.72186,0.76926,0.31964,2.21558,1.01629,0.00362,0.001703,0.001703,0.001703
17,148.096,1.8873,0.86585,0.003,0.74687,0.68952,0.74739,0.35667,2.08267,0.98179,0.00325,0.0016832,0.0016832,0.0016832
18,155.779,1.92974,0.79221,0.00313,0.8224,0.71022,0.78603,0.35008,2.12644,0.95649,0.00329,0.0016634,0.0016634,0.0016634
19,163.511,1.85902,0.76606,0.0031,0.79856,0.77437,0.83476,0.40508,1.99788,0.94191,0.0031,0.0016436,0.0016436,0.0016436
20,171.296,1.80236,0.75603,0.00292,0.84999,0.72316,0.81838,0.37385,2.07226,0.95303,0.00323,0.0016238,0.0016238,0.0016238
21,178.983,1.8506,0.79069,0.00294,0.78734,0.76585,0.81776,0.38485,1.99769,0.90261,0.00307,0.001604,0.001604,0.001604
