epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5947,2.22502,5.84057,0.0039,0.72355,0.58054,0.6474,0.27926,2.29595,1.36599,0.00359,0.0006621,0.0006621,0.0006621
2,32.8045,2.3347,1.68266,0.0041,0.68432,0.54027,0.60254,0.22836,2.44553,1.52653,0.00402,0.00132219,0.00132219,0.00132219
3,42.7428,2.44609,1.52189,0.00449,0.66534,0.5604,0.62727,0.25039,2.38652,1.42988,0.00389,0.00197568,0.00197568,0.00197568
4,52.5482,2.35063,1.45854,0.00416,0.66259,0.53047,0.57622,0.23261,2.28765,1.55088,0.00366,0.0019703,0.0019703,0.0019703
5,62.3893,2.31482,1.27504,0.0041,0.64326,0.56878,0.61073,0.25009,2.33286,1.52518,0.00387,0.0019604,0.0019604,0.0019604
6,72.2833,2.23093,1.3182,0.00389,0.73149,0.63423,0.7132,0.30729,2.2316,1.16135,0.00359,0.0019505,0.0019505,0.0019505
7,82.2326,2.23218,1.22019,0.00388,0.66663,0.44463,0.55888,0.25386,2.30852,1.96074,0.00367,0.0019406,0.0019406,0.0019406
8,92.0775,2.26192,1.19256,0.00379,0.71646,0.62323,0.68118,0.28672,2.31135,1.32161,0.00369,0.0019307,0.0019307,0.0019307
9,101.897,2.23085,1.11324,0.00392,0.77107,0.61577,0.70067,0.30819,2.23131,1.20212,0.00355,0.0019208,0.0019208,0.0019208
10,111.763,2.16489,1.13178,0.00368,0.80677,0.66946,0.75979,0.33843,2.14423,1.11651,0.00345,0.0019109,0.0019109,0.0019109
11,121.628,2.13926,1.07497,0.00364,0.70069,0.54027,0.61912,0.27661,2.25373,1.38986,0.00348,0.001901,0.001901,0.001901
12,131.411,2.16285,1.04729,0.00371,0.82241,0.69463,0.78063,0.32291,2.17775,1.07857,0.00339,0.0018911,0.0018911,0.0018911
13,141.207,2.10888,1.09159,0.0036,0.78623,0.72202,0.79227,0.37502,2.03463,0.99337,0.00313,0.0018812,0.0018812,0.0018812
14,151.076,2.08203,1.13965,0.00348,0.71622,0.67756,0.72606,0.3358,2.10571,1.13232,0.00334,0.0018713,0.0018713,0.0018713
15,160.941,2.06711,1.01787,0.00344,0.80491,0.70805,0.78588,0.34895,2.12,1.00591,0.00319,0.0018614,0.0018614,0.0018614
16,170.699,2.1136,1.00708,0.00357,0.67684,0.64661,0.69866,0.33481,2.12649,1.21404,0.00339,0.0018515,0.0018515,0.0018515
17,180.514,2.05582,0.98449,0.0034,0.75734,0.67028,0.7235,0.35116,2.10688,1.11561,0.00332,0.0018416,0.0018416,0.0018416
18,190.249,2.02595,0.93829,0.00331,0.77331,0.69258,0.7711,0.34278,2.2257,1.0332,0.00344,0.0018317,0.0018317,0.0018317
19,200.041,2.00925,0.88691,0.00328,0.75465,0.66443,0.72583,0.33719,2.17468,1.37163,0.0034,0.0018218,0.0018218,0.0018218
20,209.783,2.00554,0.94014,0.00329,0.80373,0.5755,0.69854,0.3282,2.18278,1.49018,0.00341,0.0018119,0.0018119,0.0018119
21,219.56,1.97805,0.96893,0.0032,0.79547,0.66107,0.759,0.36632,2.02182,1.09072,0.00316,0.001802,0.001802,0.001802
22,229.322,1.94916,0.89216,0.00318,0.79364,0.68289,0.75439,0.35512,2.15751,1.02555,0.00336,0.0017921,0.0017921,0.0017921
23,239.189,1.92559,0.91547,0.00315,0.76637,0.74832,0.78513,0.3658,2.15591,0.87276,0.00334,0.0017822,0.0017822,0.0017822
24,249.012,1.93381,0.88339,0.00323,0.78656,0.69463,0.77306,0.36441,2.07949,1.03065,0.00318,0.0017723,0.0017723,0.0017723
25,258.78,1.9384,0.87924,0.00321,0.76489,0.66946,0.76484,0.35781,2.13269,1.16419,0.00337,0.0017624,0.0017624,0.0017624
26,268.637,1.92621,0.8802,0.00316,0.87216,0.67537,0.80958,0.39497,2.04838,0.97864,0.00316,0.0017525,0.0017525,0.0017525
27,278.497,1.92793,0.90539,0.0032,0.84012,0.74939,0.82136,0.37413,2.12004,1.01509,0.00327,0.0017426,0.0017426,0.0017426
28,288.2,1.9146,0.87676,0.00321,0.79372,0.76825,0.80477,0.35931,2.13993,0.94807,0.00342,0.0017327,0.0017327,0.0017327
29,298.034,1.89255,0.83002,0.00304,0.82396,0.75839,0.83208,0.38902,2.06591,0.87312,0.00313,0.0017228,0.0017228,0.0017228
30,307.768,1.90678,0.8143,0.00303,0.8357,0.69981,0.79631,0.36963,2.12602,0.99208,0.00333,0.0017129,0.0017129,0.0017129
31,317.559,1.80908,0.77294,0.00296,0.80475,0.77349,0.83107,0.3968,2.04796,0.91193,0.00316,0.001703,0.001703,0.001703
32,327.438,1.80864,0.76575,0.00284,0.83976,0.7474,0.81647,0.39494,2.0874,0.92096,0.00325,0.0016931,0.0016931,0.0016931
33,337.208,1.83935,0.77139,0.00291,0.79153,0.78996,0.82137,0.39283,2.00959,0.91748,0.00305,0.0016832,0.0016832,0.0016832
34,347,1.77743,0.77699,0.00281,0.82804,0.75503,0.81393,0.39363,2.01907,0.89676,0.00312,0.0016733,0.0016733,0.0016733
35,356.752,1.82684,0.77331,0.00285,0.86666,0.70134,0.82049,0.38897,2.10061,0.98979,0.00319,0.0016634,0.0016634,0.0016634
36,366.682,1.78536,0.7376,0.00281,0.81679,0.80872,0.84301,0.39107,2.05555,0.91088,0.00314,0.0016535,0.0016535,0.0016535
37,376.47,1.79704,0.73661,0.00278,0.84258,0.74541,0.82927,0.3933,2.09689,0.93599,0.00322,0.0016436,0.0016436,0.0016436
38,386.242,1.8368,0.74946,0.00285,0.84734,0.73322,0.80863,0.35959,2.17641,0.94399,0.00338,0.0016337,0.0016337,0.0016337
39,396.031,1.79102,0.75444,0.00282,0.83642,0.68289,0.78455,0.36572,2.12131,1.22786,0.0034,0.0016238,0.0016238,0.0016238
40,405.843,1.73907,0.71487,0.00278,0.80784,0.78859,0.82057,0.38376,2.08064,0.94207,0.00324,0.0016139,0.0016139,0.0016139
