epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2368,3.05001,4.46639,0.00435,0.25114,0.28235,0.14888,0.0489,2.86121,2.59631,0.0028,0.00036,0.00036,0.00036
2,17.0396,2.7553,2.39884,0.00335,0.46729,0.38431,0.33882,0.10474,2.76245,2.3252,0.0026,0.000732674,0.000732674,0.000732674
3,18.842,2.74713,1.94108,0.00321,0.60293,0.34118,0.35342,0.12033,2.82833,2.02113,0.00284,0.00109782,0.00109782,0.00109782
4,20.7583,2.85999,1.80823,0.00326,0.45607,0.29804,0.28796,0.09439,2.90625,2.40471,0.00311,0.00145545,0.00145545,0.00145545
5,22.434,2.72165,1.74746,0.00317,0.45691,0.37647,0.3588,0.1139,2.98999,1.67122,0.00312,0.00180555,0.00180555,0.00180555
6,24.1415,2.87783,1.79077,0.00342,0.49099,0.41989,0.38886,0.12732,2.88457,1.86057,0.00267,0.001901,0.001901,0.001901
7,25.868,2.8205,1.67575,0.00322,0.49209,0.33725,0.33477,0.12023,2.77333,1.90227,0.0027,0.0018812,0.0018812,0.0018812
8,27.5301,2.7201,1.52239,0.00318,0.53227,0.35686,0.37493,0.12686,2.81719,1.75815,0.0028,0.0018614,0.0018614,0.0018614
9,29.279,2.75015,1.5104,0.00306,0.49842,0.41961,0.36306,0.13079,2.84119,1.55084,0.00288,0.0018416,0.0018416,0.0018416
10,30.9893,2.77749,1.42133,0.00328,0.59054,0.41961,0.41495,0.12747,2.98397,1.53671,0.00336,0.0018218,0.0018218,0.0018218
11,32.6474,2.7908,1.39309,0.00317,0.52126,0.42353,0.39587,0.12908,2.89775,1.41721,0.00289,0.001802,0.001802,0.001802
12,34.3224,2.77205,1.42332,0.00309,0.61202,0.41569,0.44438,0.14329,2.77806,1.47565,0.00272,0.0017822,0.0017822,0.0017822
13,36.0081,2.70706,1.34173,0.00304,0.51327,0.45075,0.42844,0.15087,2.77818,1.44018,0.0027,0.0017624,0.0017624,0.0017624
14,37.8421,2.60163,1.41831,0.00284,0.5883,0.4259,0.44968,0.15801,2.80084,1.6145,0.00281,0.0017426,0.0017426,0.0017426
15,39.5454,2.65856,1.4457,0.00293,0.54158,0.46275,0.44021,0.15434,2.81093,1.4729,0.00265,0.0017228,0.0017228,0.0017228
16,41.2154,2.7005,1.39202,0.00298,0.60153,0.41569,0.44165,0.14759,2.81521,1.58999,0.00262,0.001703,0.001703,0.001703
17,42.8699,2.69067,1.42165,0.00292,0.57737,0.39109,0.40079,0.13373,2.73184,1.58321,0.00248,0.0016832,0.0016832,0.0016832
18,44.5561,2.60576,1.39112,0.0029,0.56345,0.43137,0.44703,0.14525,2.80292,1.48242,0.00255,0.0016634,0.0016634,0.0016634
19,46.2101,2.64248,1.31948,0.00302,0.67425,0.43529,0.46408,0.16289,2.84013,1.43665,0.00265,0.0016436,0.0016436,0.0016436
20,48.029,2.67073,1.29221,0.00286,0.68345,0.4549,0.5058,0.17879,2.74098,1.3699,0.00257,0.0016238,0.0016238,0.0016238
21,49.6561,2.59937,1.3001,0.0029,0.65493,0.52941,0.55566,0.18817,2.66875,1.35793,0.00243,0.001604,0.001604,0.001604
22,51.1821,2.59194,1.25606,0.00281,0.62696,0.5098,0.53704,0.18149,2.6942,1.34092,0.0026,0.0015842,0.0015842,0.0015842
23,52.6185,2.59542,1.26848,0.00284,0.64598,0.39357,0.4479,0.1376,2.92931,1.55475,0.00284,0.0015644,0.0015644,0.0015644
24,54.1169,2.64846,1.37521,0.00297,0.57695,0.43922,0.47937,0.15542,2.78199,1.41481,0.00261,0.0015446,0.0015446,0.0015446
