epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80814,2.91579,4.3887,0.0042,0.18374,0.18431,0.07259,0.02501,2.78323,2.88768,0.00267,0.00036,0.00036,0.00036
2,3.64191,2.70323,2.48966,0.0032,0.5114,0.35686,0.32772,0.10106,2.91035,1.73131,0.00292,0.000735116,0.000735116,0.000735116
3,5.31203,2.81927,1.93859,0.00338,0.40845,0.36471,0.27786,0.08678,2.80595,1.7566,0.00287,0.00110522,0.00110522,0.00110522
4,6.75394,2.84128,1.7919,0.00332,0.47941,0.29804,0.29133,0.09729,2.91136,1.75305,0.00295,0.0014703,0.0014703,0.0014703
5,8.17288,2.8593,1.6524,0.00335,0.40857,0.34118,0.2902,0.09202,2.92661,2.17544,0.0028,0.00183037,0.00183037,0.00183037
6,9.59073,2.79322,1.5895,0.0033,0.48483,0.34323,0.29578,0.08867,nan,nan,nan,0.001934,0.001934,0.001934
7,11.0022,2.87578,1.66992,0.00327,0.56333,0.4,0.37883,0.11674,2.82961,1.56819,0.00282,0.0019208,0.0019208,0.0019208
8,12.6476,2.78624,1.5094,0.0031,0.55638,0.3451,0.38259,0.12293,2.91011,1.76201,0.00276,0.0019076,0.0019076,0.0019076
9,14.0878,2.82893,1.50929,0.00322,0.55545,0.44706,0.44564,0.13887,2.89946,2.09784,0.00286,0.0018944,0.0018944,0.0018944
10,15.5684,2.77984,1.50814,0.00318,0.37016,0.43529,0.35692,0.10402,3.006,1.74956,0.00302,0.0018812,0.0018812,0.0018812
11,16.9715,2.65843,1.49889,0.00303,0.57411,0.41176,0.45713,0.12994,2.89979,1.57025,0.00283,0.001868,0.001868,0.001868
12,18.3861,2.77328,1.48999,0.00308,0.57512,0.39608,0.43721,0.14235,2.7866,1.62272,0.00266,0.0018548,0.0018548,0.0018548
13,19.9804,2.73488,1.45332,0.00316,0.56415,0.43529,0.43502,0.14037,2.81054,1.59823,0.0028,0.0018416,0.0018416,0.0018416
14,21.4318,2.86812,1.49204,0.00311,0.55692,0.40784,0.43823,0.15161,2.79004,1.50298,0.00268,0.0018284,0.0018284,0.0018284
15,22.8903,2.73431,1.35999,0.00307,0.56641,0.39216,0.40878,0.15166,2.72457,1.47779,0.00265,0.0018152,0.0018152,0.0018152
16,24.3567,2.64983,1.3578,0.00299,0.49547,0.42353,0.41577,0.1339,2.86207,1.44556,0.00283,0.001802,0.001802,0.001802
17,25.7478,2.64944,1.40746,0.00298,0.54782,0.47451,0.44315,0.14117,2.83984,1.53241,0.00276,0.0017888,0.0017888,0.0017888
18,27.4798,2.6187,1.36707,0.00291,0.62349,0.48055,0.49476,0.17856,2.66324,1.3922,0.00254,0.0017756,0.0017756,0.0017756
19,29.0275,2.78284,1.35125,0.00311,0.61293,0.47451,0.48347,0.15952,2.75211,1.4099,0.00272,0.0017624,0.0017624,0.0017624
20,30.4376,2.67241,1.33836,0.00297,0.54679,0.42353,0.42853,0.15496,2.74692,1.5857,0.00259,0.0017492,0.0017492,0.0017492
21,31.8301,2.64237,1.42958,0.00296,0.61075,0.5098,0.51022,0.17699,2.74107,1.36495,0.00271,0.001736,0.001736,0.001736
22,33.2422,2.63557,1.23882,0.00289,0.61346,0.5098,0.51231,0.18076,2.70632,1.27797,0.00267,0.0017228,0.0017228,0.0017228
