epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.608,2.75888,4.95583,0.00338,0.30628,0.33725,0.19934,0.06709,2.83874,2.41041,0.00276,0.00036,0.00036,0.00036
2,21.9282,2.65332,2.47378,0.00298,0.43192,0.41961,0.30409,0.09425,2.79797,2.2961,0.00268,0.000732674,0.000732674,0.000732674
3,23.8551,2.71868,1.87564,0.00286,0.54539,0.43137,0.45286,0.16055,2.55589,1.68449,0.00247,0.00109782,0.00109782,0.00109782
4,25.6925,2.68921,1.67517,0.00281,0.56787,0.44314,0.452,0.13107,2.76227,1.73186,0.00272,0.00145545,0.00145545,0.00145545
5,27.4627,2.62113,1.56318,0.00276,0.41479,0.4902,0.4032,0.11967,2.84029,1.76571,0.00277,0.00180555,0.00180555,0.00180555
6,29.2395,2.68949,1.6008,0.00285,0.49512,0.35686,0.3161,0.10043,3.01768,1.99465,0.00328,0.001901,0.001901,0.001901
7,31.1069,2.63433,1.53515,0.00276,0.48691,0.39608,0.38417,0.13786,2.90073,2.16935,0.00296,0.0018812,0.0018812,0.0018812
8,32.8702,2.66943,1.4246,0.00286,0.65582,0.44706,0.49262,0.16206,2.68205,1.93639,0.00265,0.0018614,0.0018614,0.0018614
9,34.6603,2.64445,1.35667,0.00269,0.63296,0.42745,0.44649,0.15231,2.7372,1.72075,0.00259,0.0018416,0.0018416,0.0018416
10,36.425,2.64598,1.40882,0.0028,0.64916,0.47451,0.50076,0.17602,2.66622,1.47319,0.00261,0.0018218,0.0018218,0.0018218
11,38.2465,2.63435,1.36967,0.0027,0.66108,0.46667,0.50822,0.18316,2.61734,1.54406,0.00251,0.001802,0.001802,0.001802
12,40.1644,2.58422,1.42662,0.00269,0.67796,0.43529,0.51609,0.18517,2.59107,1.47452,0.00265,0.0017822,0.0017822,0.0017822
13,41.9635,2.54534,1.30113,0.00266,0.60706,0.45882,0.49561,0.17728,2.72807,1.51742,0.00284,0.0017624,0.0017624,0.0017624
14,43.7189,2.53497,1.31895,0.00267,0.71215,0.37838,0.47246,0.16834,2.79249,1.53454,0.00302,0.0017426,0.0017426,0.0017426
15,45.4724,2.4975,1.26285,0.00255,0.70043,0.47059,0.54647,0.20015,2.54735,1.42595,0.00252,0.0017228,0.0017228,0.0017228
16,47.3169,2.48603,1.20178,0.0025,0.57539,0.47059,0.50773,0.18291,2.77241,1.5128,0.00264,0.001703,0.001703,0.001703
