epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82006,2.7958,7.61574,0.00389,0.38771,0.30588,0.24344,0.08815,2.84098,2.47766,0.00303,0.000657534,0.000657534,0.000657534
2,13.001,2.9432,2.59672,0.00343,0.34941,0.32941,0.25935,0.0693,2.93119,2.09566,0.00295,0.00131109,0.00131109,0.00131109
3,18.4145,3.12658,2.30741,0.00383,0.36924,0.27059,0.19713,0.04719,3.33785,2.03036,0.00354,0.00195145,0.00195145,0.00195145
4,23.5815,3.31203,2.34634,0.00405,0.24656,0.29412,0.18371,0.06155,3.41698,3.74755,0.00376,0.0019406,0.0019406,0.0019406
5,28.5913,3.23105,2.669,0.00414,0.21431,0.13725,0.07308,0.01692,3.6965,2.3054,0.00446,0.0019208,0.0019208,0.0019208
6,33.9056,3.46104,2.43841,0.00422,0.32664,0.23209,0.16366,0.03386,3.49852,1.98948,0.00395,0.001901,0.001901,0.001901
7,39.3725,3.11393,2.07388,0.00391,0.47978,0.2902,0.25752,0.07557,3.27655,2.58736,0.00387,0.0018812,0.0018812,0.0018812
8,44.3248,3.15564,1.94871,0.00389,0.42941,0.30196,0.28781,0.07326,3.07742,1.7871,0.00329,0.0018614,0.0018614,0.0018614
9,49.3896,3.06965,1.831,0.00367,0.37302,0.32941,0.28675,0.08076,3.10292,1.9272,0.00316,0.0018416,0.0018416,0.0018416
10,54.5018,2.98373,1.85862,0.00357,0.44682,0.34118,0.31971,0.0921,3.15122,1.92624,0.00311,0.0018218,0.0018218,0.0018218
11,59.5723,2.96895,1.67173,0.0035,0.51677,0.35686,0.3625,0.10701,3.11223,1.60686,0.00307,0.001802,0.001802,0.001802
12,65.0424,3.03189,1.5889,0.00357,0.53369,0.28235,0.30172,0.08298,3.30208,1.74091,0.00376,0.0017822,0.0017822,0.0017822
13,70.1285,2.9527,1.60304,0.0035,0.50232,0.39216,0.37831,0.13452,2.98691,1.56394,0.00307,0.0017624,0.0017624,0.0017624
14,75.222,2.89276,1.54871,0.00338,0.45997,0.39216,0.37631,0.10331,3.11982,1.55589,0.00323,0.0017426,0.0017426,0.0017426
15,80.3211,2.95618,1.55699,0.00343,0.43754,0.39608,0.37425,0.12219,2.95226,1.69964,0.00299,0.0017228,0.0017228,0.0017228
16,85.7086,2.78095,1.54386,0.00325,0.4349,0.34902,0.34097,0.10182,2.96126,1.56851,0.00284,0.001703,0.001703,0.001703
17,90.7226,2.88972,1.53425,0.00328,0.49519,0.41961,0.4012,0.1141,2.92868,1.48455,0.00311,0.0016832,0.0016832,0.0016832
18,95.7763,2.76115,1.43158,0.00328,0.45984,0.37255,0.37841,0.11848,2.99523,1.60926,0.00302,0.0016634,0.0016634,0.0016634
19,100.737,2.72813,1.47705,0.00306,0.59253,0.41569,0.44953,0.15957,2.77627,1.6452,0.00272,0.0016436,0.0016436,0.0016436
20,106.053,2.75702,1.45045,0.00321,0.57481,0.40392,0.41623,0.15451,2.94739,1.50591,0.00302,0.0016238,0.0016238,0.0016238
21,111.408,2.87769,1.44534,0.00326,0.47059,0.43922,0.37219,0.12881,2.96554,1.53265,0.00314,0.001604,0.001604,0.001604
22,116.365,2.86571,1.42753,0.00324,0.50119,0.38616,0.39639,0.12456,2.91196,1.58071,0.00285,0.0015842,0.0015842,0.0015842
23,121.514,2.72381,1.45202,0.00301,0.59534,0.43529,0.47436,0.15797,2.76397,1.47928,0.00271,0.0015644,0.0015644,0.0015644
24,126.598,2.69769,1.42229,0.00306,0.58873,0.46032,0.5066,0.16694,2.72037,1.57031,0.00255,0.0015446,0.0015446,0.0015446
25,131.643,2.55486,1.40728,0.00287,0.63044,0.51373,0.53815,0.19733,2.74045,1.42008,0.00263,0.0015248,0.0015248,0.0015248
26,137.191,2.62658,1.42377,0.0029,0.57442,0.4549,0.49084,0.16457,2.74006,1.56822,0.00268,0.001505,0.001505,0.001505
27,142.239,2.57316,1.3715,0.00284,0.57213,0.49412,0.53048,0.19104,2.71218,1.40665,0.00264,0.0014852,0.0014852,0.0014852
28,147.208,2.51069,1.3222,0.00288,0.61682,0.49412,0.53007,0.17805,2.74012,1.35276,0.00261,0.0014654,0.0014654,0.0014654
29,152.617,2.63567,1.28295,0.00301,0.60783,0.52273,0.5355,0.18725,2.65154,1.35322,0.00247,0.0014456,0.0014456,0.0014456
30,157.949,2.57103,1.26333,0.00285,0.56932,0.52549,0.52792,0.17539,2.7061,1.34349,0.00257,0.0014258,0.0014258,0.0014258
31,162.93,2.61284,1.24089,0.00292,0.64698,0.5606,0.5477,0.18855,2.73677,1.2613,0.0026,0.001406,0.001406,0.001406
32,168.061,2.58933,1.17041,0.00287,0.6846,0.57031,0.62009,0.22442,2.54183,1.25156,0.00236,0.0013862,0.0013862,0.0013862
33,173.215,2.45051,1.15248,0.00274,0.66157,0.56078,0.61217,0.21638,2.59706,1.28013,0.00237,0.0013664,0.0013664,0.0013664
34,178.48,2.45656,1.17815,0.00264,0.75581,0.4902,0.58614,0.21051,2.73036,1.30751,0.00256,0.0013466,0.0013466,0.0013466
35,183.646,2.62132,1.17709,0.0029,0.64,0.46275,0.51338,0.16307,2.84372,1.51778,0.0028,0.0013268,0.0013268,0.0013268
36,188.687,2.585,1.21832,0.00291,0.7011,0.41569,0.48567,0.19018,2.65334,1.45657,0.00255,0.001307,0.001307,0.001307
37,193.651,2.46477,1.21691,0.00271,0.65385,0.5098,0.56967,0.19248,2.60921,1.39137,0.00241,0.0012872,0.0012872,0.0012872
38,198.803,2.51279,1.162,0.00275,0.72752,0.50196,0.56305,0.21772,2.59241,1.29054,0.0025,0.0012674,0.0012674,0.0012674
39,204.098,2.46544,1.12938,0.00272,0.66054,0.54179,0.58313,0.22289,2.60321,1.30147,0.00245,0.0012476,0.0012476,0.0012476
40,209.114,2.48591,1.08212,0.00271,0.64319,0.53019,0.576,0.196,2.64471,1.29287,0.00246,0.0012278,0.0012278,0.0012278
41,214.291,2.40019,1.13948,0.00271,0.68718,0.51765,0.58875,0.21511,2.62638,1.26138,0.0025,0.001208,0.001208,0.001208
42,219.251,2.37939,1.12459,0.00256,0.52604,0.48748,0.50407,0.17602,2.77128,1.33587,0.00249,0.0011882,0.0011882,0.0011882
43,224.616,2.4751,1.09979,0.00273,0.71942,0.49412,0.56501,0.21619,2.60822,1.28436,0.00243,0.0011684,0.0011684,0.0011684
44,229.783,2.31843,1.0621,0.00251,0.5977,0.56471,0.57556,0.21799,2.5824,1.26965,0.00237,0.0011486,0.0011486,0.0011486
45,234.732,2.37212,1.07349,0.00253,0.70658,0.52882,0.58406,0.19602,2.642,1.35096,0.00243,0.0011288,0.0011288,0.0011288
46,239.787,2.47485,1.08188,0.00259,0.69081,0.56075,0.5963,0.20588,2.67178,1.32265,0.00255,0.001109,0.001109,0.001109
47,244.957,2.43925,1.06011,0.00265,0.72312,0.53725,0.60774,0.22932,2.60913,1.30402,0.00242,0.0010892,0.0010892,0.0010892
48,250.325,2.33895,1.03354,0.00244,0.63927,0.55294,0.57667,0.211,2.67675,1.29767,0.00252,0.0010694,0.0010694,0.0010694
49,255.402,2.32801,1.1082,0.00248,0.67214,0.54118,0.58366,0.22275,2.60312,1.25537,0.00236,0.0010496,0.0010496,0.0010496
50,260.584,2.38491,1.09349,0.00259,0.66048,0.55691,0.59514,0.22031,2.53139,1.33853,0.0024,0.0010298,0.0010298,0.0010298
51,265.539,2.30804,1.06524,0.00249,0.73096,0.5451,0.63459,0.22435,2.52567,1.21432,0.00239,0.00101,0.00101,0.00101
52,270.624,2.22559,1.05337,0.00242,0.70712,0.52941,0.60239,0.21731,2.53823,1.33508,0.00232,0.0009902,0.0009902,0.0009902
53,276.331,2.31081,1.032,0.00245,0.7689,0.53333,0.61818,0.25178,2.50809,1.29908,0.00232,0.0009704,0.0009704,0.0009704
