epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2947,2.8852,6.97613,0.00391,0.25776,0.2902,0.13919,0.03638,3.15507,3.9739,0.00307,0.000648649,0.000648649,0.000648649
2,13.0862,3.08918,2.71985,0.00392,0.32038,0.2549,0.16743,0.04255,3.30348,1.92112,0.00383,0.00130229,0.00130229,0.00130229
3,15.5953,3.32593,2.2542,0.0044,0.2794,0.21176,0.13757,0.0315,3.3661,2.21866,0.0038,0.00194274,0.00194274,0.00194274
4,17.969,3.25545,2.06547,0.00417,0.39104,0.25098,0.1957,0.04906,3.22534,2.57871,0.00337,0.0019406,0.0019406,0.0019406
5,20.5598,3.05284,1.82495,0.00382,0.41033,0.29412,0.23578,0.06232,3.30122,2.02659,0.00339,0.0019208,0.0019208,0.0019208
6,23.0631,3.14308,1.70361,0.00379,0.32322,0.25285,0.2034,0.06162,3.46788,2.01257,0.00352,0.001901,0.001901,0.001901
7,25.8377,3.20687,1.6955,0.0038,0.50755,0.35294,0.32653,0.10121,3.04771,1.71432,0.0031,0.0018812,0.0018812,0.0018812
8,28.473,3.10105,1.67955,0.00369,0.35574,0.33725,0.22882,0.0558,3.10999,2.01727,0.00308,0.0018614,0.0018614,0.0018614
9,30.8421,3.03943,1.6976,0.00363,0.27117,0.28235,0.19783,0.05399,3.0998,2.64032,0.00322,0.0018416,0.0018416,0.0018416
10,33.241,2.90015,1.70564,0.00331,0.49263,0.33888,0.28091,0.0665,3.18561,1.71442,0.00315,0.0018218,0.0018218,0.0018218
11,35.7462,2.90491,1.56756,0.00339,0.32489,0.36471,0.2542,0.07887,2.9496,1.95996,0.00301,0.001802,0.001802,0.001802
12,38.236,2.79572,1.56583,0.00317,0.4992,0.37255,0.30478,0.09938,3.0136,1.57947,0.00301,0.0017822,0.0017822,0.0017822
13,40.6326,2.8246,1.60784,0.00333,0.49808,0.37647,0.38921,0.13214,2.74592,1.64585,0.00253,0.0017624,0.0017624,0.0017624
14,43.1877,2.83777,1.59044,0.00316,0.48576,0.38431,0.38181,0.11996,2.86708,1.64736,0.00269,0.0017426,0.0017426,0.0017426
15,45.625,2.77035,1.66197,0.00317,0.6089,0.2902,0.33424,0.11454,2.91365,1.66903,0.00301,0.0017228,0.0017228,0.0017228
16,48.3669,2.69597,1.5435,0.00304,0.6076,0.44706,0.45803,0.15401,2.76673,1.47771,0.00259,0.001703,0.001703,0.001703
17,50.8821,2.70389,1.41825,0.00305,0.53238,0.38824,0.41935,0.14338,2.7018,1.44972,0.0026,0.0016832,0.0016832,0.0016832
18,53.3271,2.94333,1.47711,0.00336,0.52021,0.39608,0.39663,0.12011,2.88337,1.58865,0.0027,0.0016634,0.0016634,0.0016634
19,55.7176,2.61677,1.38815,0.00293,0.53346,0.45882,0.45565,0.15965,2.721,1.52397,0.00258,0.0016436,0.0016436,0.0016436
20,58.2272,2.70392,1.41928,0.00302,0.62565,0.4902,0.50761,0.16939,2.71495,1.4113,0.00244,0.0016238,0.0016238,0.0016238
21,60.9308,2.73616,1.38964,0.00296,0.57489,0.43137,0.44401,0.15556,2.71911,1.45844,0.00251,0.001604,0.001604,0.001604
22,63.3176,2.52256,1.40474,0.00275,0.59607,0.48627,0.50344,0.17571,2.57953,1.38746,0.00236,0.0015842,0.0015842,0.0015842
23,65.7789,2.59496,1.35267,0.00295,0.54795,0.43529,0.45346,0.13414,2.85528,1.48971,0.00263,0.0015644,0.0015644,0.0015644
24,68.5211,2.65742,1.39978,0.00299,0.61178,0.48235,0.51425,0.17736,2.66102,1.41298,0.00252,0.0015446,0.0015446,0.0015446
25,71.0356,2.5914,1.34785,0.00285,0.58111,0.47059,0.48583,0.16195,2.73935,1.45908,0.00262,0.0015248,0.0015248,0.0015248
26,73.5197,2.67526,1.28142,0.003,0.60901,0.48255,0.4966,0.16698,2.7176,1.38704,0.00256,0.001505,0.001505,0.001505
27,76.0345,2.62984,1.27607,0.00294,0.66949,0.53333,0.5672,0.17358,2.73603,1.34852,0.0025,0.0014852,0.0014852,0.0014852
28,78.6655,2.5309,1.23837,0.00279,0.65214,0.49412,0.52603,0.18071,2.65256,1.29581,0.00241,0.0014654,0.0014654,0.0014654
29,81.1761,2.59147,1.20459,0.00279,0.62652,0.50654,0.51662,0.1805,2.70194,1.27805,0.00252,0.0014456,0.0014456,0.0014456
30,83.6691,2.58135,1.19286,0.0028,0.59741,0.49804,0.51684,0.18937,2.59357,1.40187,0.00241,0.0014258,0.0014258,0.0014258
31,86.2537,2.545,1.22032,0.0028,0.62444,0.48904,0.52049,0.19761,2.57263,1.37951,0.00237,0.001406,0.001406,0.001406
