epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8688,3.47747,8.24271,0.0064,0.00117,0.10196,0.00069,0.00024,2.93639,5.2689,0.00359,0.00036,0.00036,0.00036
2,12.4027,3.19371,5.84898,0.00464,0.00333,0.2902,0.00244,0.0008,3.14035,4.75627,0.00357,0.000732674,0.000732674,0.000732674
3,13.889,3.12787,4.52348,0.0042,0.00541,0.47059,0.07851,0.02097,3.21669,4.30071,0.00338,0.00109782,0.00109782,0.00109782
4,15.2575,3.12452,3.92869,0.004,0.01311,0.36863,0.16628,0.05041,2.96867,3.69634,0.00313,0.00145545,0.00145545,0.00145545
5,16.5799,3.04772,3.54504,0.0037,0.5545,0.12692,0.19785,0.06431,3.10911,3.27341,0.00335,0.00180555,0.00180555,0.00180555
6,17.9452,3.21388,3.35784,0.00408,0.3652,0.22745,0.20342,0.05373,3.18823,2.63698,0.00365,0.001901,0.001901,0.001901
7,19.273,3.13432,3.14722,0.00376,0.37062,0.27059,0.18476,0.06061,2.96855,2.1453,0.00308,0.0018812,0.0018812,0.0018812
8,20.6991,3.05079,2.83312,0.00363,0.42361,0.32549,0.27431,0.07435,3.19867,2.00733,0.00321,0.0018614,0.0018614,0.0018614
9,22.1355,2.83546,2.61798,0.00335,0.45895,0.3451,0.28953,0.09287,2.8955,1.85012,0.003,0.0018416,0.0018416,0.0018416
10,23.4747,2.86103,2.40203,0.00338,0.34919,0.32941,0.23192,0.06445,3.08864,1.94287,0.0032,0.0018218,0.0018218,0.0018218
11,24.7958,2.92415,2.33661,0.0034,0.45432,0.32941,0.30307,0.09752,2.88839,1.73704,0.00296,0.001802,0.001802,0.001802
12,26.1404,2.86364,2.13129,0.00328,0.38611,0.39216,0.31884,0.09451,2.94006,1.68505,0.00294,0.0017822,0.0017822,0.0017822
13,27.562,2.94352,2.06081,0.00345,0.45394,0.37255,0.34333,0.11387,2.90006,1.57481,0.00284,0.0017624,0.0017624,0.0017624
14,28.9118,2.77847,1.96351,0.00317,0.50857,0.45453,0.38706,0.13245,2.75063,1.68932,0.00268,0.0017426,0.0017426,0.0017426
15,30.5757,2.74435,1.79982,0.00308,0.49438,0.41028,0.40803,0.13332,2.80114,1.52082,0.00276,0.0017228,0.0017228,0.0017228
16,31.9086,2.81873,1.82084,0.00325,0.4478,0.41961,0.37268,0.12688,2.83378,1.48543,0.00283,0.001703,0.001703,0.001703
17,33.2218,2.87635,1.74628,0.0033,0.45243,0.4,0.3432,0.10565,3.06535,1.62161,0.00296,0.0016832,0.0016832,0.0016832
18,34.6427,2.79309,1.76636,0.00318,0.44156,0.41176,0.38336,0.12764,2.78996,1.59023,0.00281,0.0016634,0.0016634,0.0016634
19,35.9583,2.80077,1.72884,0.00312,0.59459,0.40392,0.42301,0.12218,2.76686,1.58246,0.00269,0.0016436,0.0016436,0.0016436
20,37.3174,2.68162,1.66934,0.00299,0.4654,0.43529,0.38895,0.13486,2.827,1.50769,0.00281,0.0016238,0.0016238,0.0016238
21,38.6946,2.6709,1.68516,0.00294,0.4364,0.4,0.34725,0.12059,2.87152,1.58019,0.00288,0.001604,0.001604,0.001604
22,40.0151,2.72517,1.60697,0.0031,0.50672,0.43507,0.40569,0.13609,2.80912,1.48684,0.00278,0.0015842,0.0015842,0.0015842
23,41.3361,2.65982,1.59971,0.003,0.5683,0.43882,0.45118,0.15322,2.75275,1.43116,0.00273,0.0015644,0.0015644,0.0015644
24,42.7878,2.65047,1.46733,0.00288,0.51652,0.38824,0.38991,0.13032,2.69575,1.49014,0.00261,0.0015446,0.0015446,0.0015446
25,44.0886,2.655,1.52704,0.00304,0.54526,0.42353,0.43664,0.15236,2.58089,1.45194,0.00248,0.0015248,0.0015248,0.0015248
26,45.455,2.62037,1.52926,0.00286,0.51596,0.4,0.40538,0.13638,2.66995,1.45289,0.00256,0.001505,0.001505,0.001505
27,46.8443,2.7482,1.53584,0.00312,0.39949,0.44314,0.39193,0.15453,2.63281,1.43374,0.00262,0.0014852,0.0014852,0.0014852
28,48.1948,2.59404,1.48554,0.00291,0.53535,0.38431,0.38747,0.13511,2.72794,1.44315,0.00267,0.0014654,0.0014654,0.0014654
29,49.5986,2.67081,1.43471,0.00284,0.51895,0.47059,0.44803,0.1572,2.6249,1.40985,0.00256,0.0014456,0.0014456,0.0014456
30,50.9323,2.61117,1.39296,0.00286,0.54444,0.44706,0.45612,0.16083,2.61375,1.39511,0.0025,0.0014258,0.0014258,0.0014258
31,52.2551,2.62512,1.55982,0.0029,0.52116,0.45882,0.41749,0.15162,2.63552,1.41225,0.00257,0.001406,0.001406,0.001406
32,53.8597,2.53043,1.40662,0.00272,0.58257,0.44314,0.45868,0.15842,2.67396,1.39978,0.00261,0.0013862,0.0013862,0.0013862
33,55.2143,2.5893,1.39707,0.00284,0.48914,0.46275,0.43799,0.16246,2.646,1.45719,0.00257,0.0013664,0.0013664,0.0013664
34,56.6276,2.53872,1.39076,0.00281,0.48619,0.4549,0.44546,0.15464,2.78995,1.46137,0.0027,0.0013466,0.0013466,0.0013466
35,57.9423,2.54582,1.3838,0.00277,0.54879,0.4549,0.46135,0.162,2.65583,1.40962,0.00256,0.0013268,0.0013268,0.0013268
36,59.2642,2.58344,1.37325,0.00289,0.49285,0.49804,0.46012,0.15406,2.68182,1.38863,0.00256,0.001307,0.001307,0.001307
37,60.579,2.60474,1.36132,0.00288,0.46265,0.44706,0.43253,0.15178,2.77465,1.49196,0.00266,0.0012872,0.0012872,0.0012872
38,61.9945,2.60352,1.36789,0.00274,0.53146,0.40784,0.45585,0.14238,2.75141,1.44572,0.00263,0.0012674,0.0012674,0.0012674
39,63.4141,2.569,1.36504,0.00279,0.51536,0.45872,0.4431,0.15515,2.71459,1.42754,0.00259,0.0012476,0.0012476,0.0012476
40,64.7303,2.51643,1.28632,0.00265,0.53982,0.43529,0.4589,0.16089,2.75692,1.3963,0.00265,0.0012278,0.0012278,0.0012278
41,66.0573,2.5371,1.25538,0.00278,0.51193,0.42745,0.42412,0.15556,2.71325,1.43953,0.00269,0.001208,0.001208,0.001208
42,67.3721,2.58721,1.25906,0.00272,0.55382,0.43809,0.45334,0.17312,2.68007,1.44822,0.00255,0.0011882,0.0011882,0.0011882
43,68.72,2.45432,1.27648,0.00266,0.52569,0.48627,0.46783,0.17415,2.54984,1.43078,0.00239,0.0011684,0.0011684,0.0011684
44,70.216,2.47888,1.30552,0.00259,0.57657,0.4699,0.4649,0.17573,2.60455,1.42488,0.00251,0.0011486,0.0011486,0.0011486
45,71.529,2.46712,1.27456,0.00268,0.58445,0.47451,0.47415,0.18018,2.53348,1.41644,0.0024,0.0011288,0.0011288,0.0011288
46,72.8768,2.47008,1.22496,0.0026,0.6175,0.48235,0.49345,0.17787,2.50359,1.43312,0.0023,0.001109,0.001109,0.001109
47,74.1917,2.44004,1.30038,0.00259,0.59494,0.45882,0.48524,0.18095,2.54589,1.43978,0.00238,0.0010892,0.0010892,0.0010892
48,75.5234,2.38639,1.21396,0.00266,0.54028,0.47451,0.4885,0.17331,2.67523,1.36496,0.00258,0.0010694,0.0010694,0.0010694
49,77.1455,2.47873,1.24706,0.00265,0.56769,0.46667,0.46357,0.17111,2.64483,1.43457,0.00251,0.0010496,0.0010496,0.0010496
50,78.5824,2.51583,1.22756,0.00269,0.64524,0.4549,0.52278,0.18946,2.58458,1.35515,0.00244,0.0010298,0.0010298,0.0010298
51,79.9233,2.42156,1.21501,0.00252,0.60736,0.44706,0.48695,0.17283,2.61121,1.44231,0.00249,0.00101,0.00101,0.00101
52,81.2628,2.34587,1.23092,0.00252,0.60306,0.46275,0.4826,0.17309,2.56005,1.43317,0.0024,0.0009902,0.0009902,0.0009902
53,82.5652,2.4254,1.25372,0.00259,0.5697,0.4549,0.45976,0.17494,2.60481,1.39945,0.00247,0.0009704,0.0009704,0.0009704
54,83.9772,2.44316,1.17537,0.00254,0.59907,0.48635,0.50257,0.1837,2.56631,1.35305,0.00238,0.0009506,0.0009506,0.0009506
55,85.3666,2.39139,1.22769,0.00246,0.68889,0.4902,0.53671,0.17311,2.71294,1.38083,0.00259,0.0009308,0.0009308,0.0009308
56,86.7364,2.4138,1.10789,0.00257,0.61068,0.50588,0.5399,0.19649,2.63282,1.35923,0.00244,0.000911,0.000911,0.000911
57,88.0465,2.42139,1.10247,0.00254,0.61087,0.53559,0.54812,0.20772,2.53494,1.3254,0.00232,0.0008912,0.0008912,0.0008912
58,89.3816,2.47007,1.11459,0.00255,0.61126,0.54118,0.5579,0.18979,2.55096,1.34278,0.0024,0.0008714,0.0008714,0.0008714
59,90.7957,2.43101,1.14876,0.00264,0.6023,0.52157,0.5359,0.19942,2.51853,1.28772,0.00237,0.0008516,0.0008516,0.0008516
60,92.1198,2.39258,1.13244,0.00254,0.59666,0.52549,0.52425,0.20126,2.50164,1.33289,0.0023,0.0008318,0.0008318,0.0008318
61,93.5272,2.28291,1.14873,0.00236,0.58163,0.47843,0.48091,0.18093,2.53933,1.36908,0.00232,0.000812,0.000812,0.000812
62,94.8625,2.33487,1.13952,0.00249,0.663,0.5092,0.53627,0.2016,2.48055,1.34874,0.00232,0.0007922,0.0007922,0.0007922
63,96.1869,2.30259,1.12052,0.00244,0.63546,0.48235,0.53209,0.20306,2.45614,1.38142,0.00226,0.0007724,0.0007724,0.0007724
64,97.6011,2.35765,1.12281,0.00251,0.60068,0.52157,0.52995,0.19419,2.5492,1.3219,0.00236,0.0007526,0.0007526,0.0007526
65,98.9078,2.36459,1.09077,0.00242,0.64406,0.53333,0.56247,0.19971,2.5278,1.31637,0.00236,0.0007328,0.0007328,0.0007328
66,100.373,2.32474,1.0725,0.00242,0.57683,0.5451,0.53727,0.2022,2.49025,1.34417,0.00229,0.000713,0.000713,0.000713
67,101.878,2.31396,1.06499,0.00243,0.6593,0.47451,0.53378,0.20791,2.48548,1.30997,0.00229,0.0006932,0.0006932,0.0006932
68,103.203,2.36557,1.12924,0.00255,0.59615,0.51373,0.53048,0.20609,2.4308,1.32828,0.00229,0.0006734,0.0006734,0.0006734
69,104.6,2.24273,1.04856,0.00231,0.67311,0.50196,0.53854,0.19483,2.48601,1.31275,0.00233,0.0006536,0.0006536,0.0006536
70,105.931,2.25681,1.068,0.00226,0.63365,0.48837,0.50948,0.18686,2.51037,1.35609,0.00232,0.0006338,0.0006338,0.0006338
71,107.247,2.31186,1.09558,0.00239,0.68027,0.50196,0.53456,0.19618,2.51553,1.34888,0.00239,0.000614,0.000614,0.000614
