epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67544,2.23999,11.6156,0.00227,0.7673,0.41569,0.51167,0.21707,2.0942,2.90258,0.00199,0.000657534,0.000657534,0.000657534
2,11.2577,2.16515,2.87486,0.00218,0.65369,0.59608,0.60988,0.25978,2.17233,1.59008,0.00204,0.00131765,0.00131765,0.00131765
3,16.9127,2.25503,1.94398,0.00225,0.68619,0.60884,0.69038,0.3047,2.11948,1.2243,0.00201,0.00197116,0.00197116,0.00197116
4,22.4085,2.18069,1.55531,0.00223,0.71869,0.55294,0.6252,0.25895,2.36855,1.42145,0.00217,0.0019703,0.0019703,0.0019703
5,27.9634,2.25226,1.43629,0.00227,0.72033,0.62624,0.69053,0.30554,2.1498,1.36367,0.00204,0.0019604,0.0019604,0.0019604
6,33.4766,2.11354,1.2379,0.00211,0.80159,0.65882,0.74497,0.31098,2.2001,1.16624,0.0021,0.0019505,0.0019505,0.0019505
7,38.9655,2.16929,1.31593,0.0022,0.71896,0.64208,0.72708,0.3231,2.08542,1.18723,0.00197,0.0019406,0.0019406,0.0019406
8,44.5536,2.12236,1.18693,0.00213,0.75443,0.65098,0.73372,0.33649,2.07527,1.22344,0.00193,0.0019307,0.0019307,0.0019307
9,50.1274,2.09919,1.22273,0.0021,0.76991,0.60392,0.74036,0.34418,2.09951,1.20006,0.00198,0.0019208,0.0019208,0.0019208
10,55.6662,2.13155,1.23381,0.00216,0.74585,0.65882,0.72871,0.32718,2.14898,1.13553,0.00205,0.0019109,0.0019109,0.0019109
11,61.1011,2.1423,1.13138,0.00211,0.69918,0.53725,0.63649,0.27301,2.2257,1.72904,0.00217,0.001901,0.001901,0.001901
12,66.5893,2.10898,1.05814,0.00209,0.73895,0.72153,0.76517,0.3408,2.11524,1.07857,0.00192,0.0018911,0.0018911,0.0018911
13,72.2687,2.09153,1.16207,0.00211,0.71398,0.68627,0.7302,0.32044,2.15331,1.24364,0.00219,0.0018812,0.0018812,0.0018812
14,77.775,2.07839,1.06626,0.00205,0.75905,0.68235,0.74563,0.34406,2.1145,1.17882,0.00206,0.0018713,0.0018713,0.0018713
15,83.3447,2.06535,1.08153,0.00204,0.70545,0.7098,0.7579,0.33427,2.1291,1.09175,0.00203,0.0018614,0.0018614,0.0018614
