epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8333,2.23999,11.6156,0.00227,0.7673,0.41569,0.51167,0.21707,2.0942,2.90258,0.00199,0.000657534,0.000657534,0.000657534
2,19.3254,2.19022,2.88029,0.00221,0.68824,0.56471,0.60023,0.24174,2.14239,1.8578,0.00196,0.00131109,0.00131109,0.00131109
3,24.7733,2.33168,1.92681,0.00235,0.64729,0.54902,0.58206,0.21827,2.22409,1.47163,0.00205,0.00195145,0.00195145,0.00195145
4,30.2666,2.21989,1.79926,0.00221,0.73314,0.61176,0.70829,0.29319,2.25423,1.2263,0.00215,0.0019406,0.0019406,0.0019406
5,35.7955,2.36344,1.7624,0.00245,0.72248,0.57255,0.63295,0.25358,2.4103,1.42713,0.0024,0.0019208,0.0019208,0.0019208
6,41.1905,2.26799,1.65397,0.00229,0.74437,0.60784,0.68857,0.29767,2.18566,1.36467,0.00212,0.001901,0.001901,0.001901
7,46.599,2.21776,1.32285,0.00225,0.70877,0.61569,0.66751,0.27571,2.27572,1.2679,0.00229,0.0018812,0.0018812,0.0018812
8,52.1119,2.12548,1.38723,0.00217,0.62599,0.64706,0.66301,0.2788,2.20985,1.40535,0.00209,0.0018614,0.0018614,0.0018614
9,57.4946,2.20412,1.42646,0.00218,0.76256,0.59196,0.71748,0.31547,2.14466,1.33871,0.00201,0.0018416,0.0018416,0.0018416
10,63.0373,2.13691,1.27385,0.00217,0.76392,0.63447,0.73262,0.3057,2.20994,1.14073,0.00202,0.0018218,0.0018218,0.0018218
11,68.4376,2.22778,1.20539,0.00222,0.74108,0.56471,0.67632,0.28508,2.18502,1.32134,0.00208,0.001802,0.001802,0.001802
12,73.9192,2.10425,1.12817,0.00201,0.71473,0.76637,0.76167,0.34903,2.03653,1.12143,0.00188,0.0017822,0.0017822,0.0017822
13,79.3772,2.174,1.12762,0.00217,0.76433,0.57232,0.70067,0.3094,2.14107,1.25829,0.00202,0.0017624,0.0017624,0.0017624
14,84.7649,2.20378,1.09509,0.00218,0.67513,0.63529,0.69217,0.28296,2.26453,1.29724,0.00214,0.0017426,0.0017426,0.0017426
15,90.2875,2.08412,1.09799,0.00212,0.81222,0.66275,0.76003,0.34734,2.11315,1.30666,0.00201,0.0017228,0.0017228,0.0017228
16,95.797,2.05184,1.1667,0.00215,0.77671,0.68207,0.74457,0.32353,2.19469,1.15032,0.00213,0.001703,0.001703,0.001703
17,101.179,2.05786,1.0696,0.00198,0.77814,0.63137,0.73314,0.35108,2.08464,1.30515,0.00196,0.0016832,0.0016832,0.0016832
18,106.637,2.03558,1.02438,0.00202,0.82073,0.70588,0.7806,0.37674,1.99724,1.07374,0.00181,0.0016634,0.0016634,0.0016634
19,112.187,2.04153,1.0227,0.002,0.80581,0.716,0.80139,0.34235,2.14448,0.9709,0.00204,0.0016436,0.0016436,0.0016436
20,117.744,1.9948,0.93975,0.00199,0.66977,0.70588,0.73095,0.33808,2.08644,1.02807,0.00192,0.0016238,0.0016238,0.0016238
21,123.149,2.03653,0.98985,0.00192,0.74797,0.70993,0.778,0.35187,2.04099,1.10661,0.00189,0.001604,0.001604,0.001604
22,128.554,2.00726,0.97125,0.00193,0.84312,0.64706,0.77519,0.35177,2.05039,1.0191,0.00191,0.0015842,0.0015842,0.0015842
23,133.931,1.98793,0.95068,0.00192,0.79283,0.72549,0.78863,0.36418,2.03638,1.01782,0.00184,0.0015644,0.0015644,0.0015644
24,139.425,1.9823,0.94354,0.0019,0.75101,0.70971,0.76333,0.36186,2.05165,1.07743,0.00195,0.0015446,0.0015446,0.0015446
25,144.828,1.87375,0.89237,0.00182,0.82126,0.69412,0.7943,0.36109,2.12695,0.99925,0.00205,0.0015248,0.0015248,0.0015248
26,150.336,1.91891,0.90908,0.00184,0.83088,0.69804,0.79587,0.35705,2.09383,0.96726,0.002,0.001505,0.001505,0.001505
27,155.731,1.98092,0.92534,0.00189,0.80312,0.73585,0.8226,0.39049,2.05235,0.87147,0.00194,0.0014852,0.0014852,0.0014852
28,161.26,1.86954,0.86254,0.00179,0.86287,0.74902,0.83606,0.38349,2.06178,0.8921,0.00192,0.0014654,0.0014654,0.0014654
29,166.685,1.88619,0.81725,0.0018,0.84188,0.77257,0.85227,0.37461,2.07389,0.91437,0.00199,0.0014456,0.0014456,0.0014456
30,172.062,1.96882,0.82414,0.00189,0.77908,0.80392,0.82528,0.37075,2.07715,0.8534,0.00194,0.0014258,0.0014258,0.0014258
31,177.584,1.94016,0.85786,0.00189,0.84124,0.74809,0.83651,0.3712,2.077,0.91995,0.00191,0.001406,0.001406,0.001406
32,183.083,1.90723,0.86713,0.00181,0.83355,0.7451,0.83384,0.38809,2.00766,0.95747,0.00188,0.0013862,0.0013862,0.0013862
33,188.464,1.85809,0.86122,0.00178,0.82039,0.7451,0.83085,0.38628,2.04849,0.92901,0.00197,0.0013664,0.0013664,0.0013664
34,193.867,1.87125,0.83458,0.00184,0.7912,0.75785,0.82354,0.3634,2.08874,0.93999,0.00201,0.0013466,0.0013466,0.0013466
35,199.247,1.91257,0.84232,0.00185,0.82574,0.74329,0.80682,0.37463,2.03624,0.93401,0.0019,0.0013268,0.0013268,0.0013268
36,204.81,1.87011,0.82096,0.00181,0.8173,0.71373,0.79896,0.38306,2.02039,1.00229,0.0019,0.001307,0.001307,0.001307
37,210.165,1.83749,0.82034,0.00171,0.77912,0.77464,0.81565,0.36032,2.04371,1.03916,0.00201,0.0012872,0.0012872,0.0012872
38,215.591,1.85968,0.86695,0.00176,0.86039,0.72503,0.8338,0.40185,2.02498,0.91498,0.00192,0.0012674,0.0012674,0.0012674
39,220.997,1.79538,0.78202,0.00169,0.8324,0.74014,0.82743,0.38657,2.02754,0.88958,0.00195,0.0012476,0.0012476,0.0012476
40,226.407,1.83472,0.80393,0.00162,0.83466,0.71266,0.81391,0.39514,2.05034,0.87911,0.00194,0.0012278,0.0012278,0.0012278
41,232.09,1.77233,0.74934,0.00165,0.80839,0.78824,0.83195,0.3878,2.01987,0.93088,0.0019,0.001208,0.001208,0.001208
42,237.611,1.81093,0.76642,0.00165,0.7647,0.69804,0.7415,0.34183,2.10328,1.16419,0.00197,0.0011882,0.0011882,0.0011882
43,242.977,1.85903,0.7659,0.00173,0.8312,0.7451,0.81733,0.37875,2.15617,0.90517,0.00209,0.0011684,0.0011684,0.0011684
