epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1794,2.18368,21.2888,0.0023,0.81501,0.29412,0.42212,0.18369,2.40958,3.22345,0.00222,0.0006621,0.0006621,0.0006621
2,24.9463,2.27165,3.95481,0.00233,0.74371,0.23898,0.43345,0.1617,2.2881,2.42902,0.0022,0.00131561,0.00131561,0.00131561
3,34.5761,2.30393,3.34826,0.0024,0.05057,0.76078,0.32796,0.10566,2.42511,2.77705,0.00219,0.00195592,0.00195592,0.00195592
4,44.0665,2.40269,2.57319,0.00253,0.60023,0.41176,0.44215,0.17965,2.40599,2.34487,0.00225,0.0019406,0.0019406,0.0019406
5,53.6936,2.29061,2.30097,0.00244,0.56149,0.30129,0.34007,0.1347,2.41607,2.6519,0.00237,0.0019208,0.0019208,0.0019208
6,63.1564,2.34891,1.86836,0.0025,0.55333,0.5098,0.53626,0.18966,2.41764,1.58895,0.00234,0.001901,0.001901,0.001901
7,72.9294,2.41291,1.60591,0.00251,0.4678,0.48235,0.4791,0.19537,2.63449,1.66433,0.00252,0.0018812,0.0018812,0.0018812
8,82.6107,2.3653,1.71284,0.00248,0.67772,0.4902,0.55926,0.23968,2.33655,1.80445,0.00217,0.0018614,0.0018614,0.0018614
9,92.1965,2.25904,1.49831,0.00237,0.67765,0.54902,0.62629,0.26065,2.29927,1.5725,0.00213,0.0018416,0.0018416,0.0018416
10,101.893,2.29986,1.51084,0.00242,0.71258,0.62745,0.67136,0.2451,2.40774,1.38888,0.00233,0.0018218,0.0018218,0.0018218
11,111.364,2.14408,1.53636,0.00215,0.67877,0.54902,0.63616,0.2398,2.2886,1.55962,0.00209,0.001802,0.001802,0.001802
12,121.076,2.2052,1.35934,0.00225,0.65672,0.62353,0.66927,0.28339,2.23771,1.32127,0.00204,0.0017822,0.0017822,0.0017822
13,130.696,2.09897,1.31822,0.00215,0.72655,0.61475,0.68599,0.3046,2.26567,1.23549,0.00213,0.0017624,0.0017624,0.0017624
14,140.354,2.13657,1.24856,0.00219,0.7113,0.62353,0.68822,0.2689,2.3982,1.37445,0.00236,0.0017426,0.0017426,0.0017426
15,149.872,2.17152,1.26877,0.00226,0.66131,0.64319,0.66554,0.28871,2.28493,1.33167,0.00208,0.0017228,0.0017228,0.0017228
16,159.517,2.09985,1.2677,0.00217,0.69541,0.53721,0.62473,0.28509,2.21494,1.61854,0.00206,0.001703,0.001703,0.001703
17,169.115,2.13947,1.25198,0.0022,0.66963,0.66667,0.72064,0.30551,2.19074,1.21953,0.00198,0.0016832,0.0016832,0.0016832
18,178.713,2.27219,1.33111,0.00229,0.6981,0.58036,0.66274,0.28597,2.30256,1.3578,0.00207,0.0016634,0.0016634,0.0016634
19,188.291,2.1703,1.29911,0.00215,0.70315,0.61569,0.67545,0.27921,2.36101,1.23763,0.00218,0.0016436,0.0016436,0.0016436
20,197.799,2.10401,1.18906,0.00214,0.7538,0.64706,0.74089,0.32978,2.16143,1.13611,0.00195,0.0016238,0.0016238,0.0016238
21,207.502,2.0675,1.15078,0.00205,0.74231,0.70038,0.71997,0.2878,2.24899,1.24553,0.00203,0.001604,0.001604,0.001604
