epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4782,2.12603,14.7858,0.00216,0.63338,0.38617,0.46412,0.19954,2.12372,3.814,0.00196,0.0006621,0.0006621,0.0006621
2,23.0476,2.12321,3.51549,0.0022,0.82626,0.25098,0.37378,0.16198,2.29092,2.98924,0.00228,0.00131561,0.00131561,0.00131561
3,34.2575,2.30478,2.33095,0.00241,0.64751,0.43137,0.52928,0.20842,2.31329,1.96054,0.00217,0.00195592,0.00195592,0.00195592
4,45.315,2.1844,2.18381,0.00228,0.59422,0.41176,0.47102,0.19851,2.3242,1.94064,0.00215,0.0019406,0.0019406,0.0019406
5,56.3966,2.19818,2.17017,0.00236,0.67166,0.68186,0.7067,0.26988,2.31779,1.33575,0.00223,0.0019208,0.0019208,0.0019208
6,67.4097,2.2109,1.63331,0.00235,0.74804,0.54721,0.65689,0.23876,2.39735,1.43572,0.0025,0.001901,0.001901,0.001901
7,78.5126,2.13665,1.59804,0.00223,0.73778,0.52157,0.63175,0.28858,2.19011,1.53325,0.00198,0.0018812,0.0018812,0.0018812
8,89.5506,2.08488,1.3846,0.00212,0.63541,0.49412,0.58904,0.25444,2.23342,1.86174,0.00207,0.0018614,0.0018614,0.0018614
9,100.598,2.18496,1.59664,0.00229,0.77246,0.61241,0.7011,0.30918,2.18872,1.50643,0.0021,0.0018416,0.0018416,0.0018416
10,111.863,2.29247,1.32077,0.0023,0.80127,0.63922,0.71998,0.30054,2.2754,1.22604,0.00212,0.0018218,0.0018218,0.0018218
11,123.038,2.08737,1.26517,0.0021,0.81119,0.67395,0.77011,0.34296,2.06583,1.19097,0.00189,0.001802,0.001802,0.001802
12,134.467,2.11655,1.22789,0.00214,0.81061,0.60784,0.7189,0.33681,2.10108,1.5141,0.00195,0.0017822,0.0017822,0.0017822
13,145.684,2.05302,1.26912,0.00212,0.79748,0.65882,0.76153,0.33075,2.12605,1.17347,0.00197,0.0017624,0.0017624,0.0017624
14,157.015,1.99996,1.2708,0.00201,0.82404,0.62443,0.72073,0.3165,2.25412,1.35423,0.00208,0.0017426,0.0017426,0.0017426
15,168.147,2.13268,1.12959,0.00213,0.7627,0.67843,0.7475,0.33235,2.2249,1.06167,0.00207,0.0017228,0.0017228,0.0017228
16,179.543,2.02812,1.15803,0.00203,0.81519,0.67461,0.78222,0.35364,2.07138,1.0808,0.00195,0.001703,0.001703,0.001703
17,190.772,2.00714,0.99413,0.00202,0.73686,0.59299,0.68653,0.31659,2.1028,1.34063,0.00195,0.0016832,0.0016832,0.0016832
18,201.992,2.09637,1.00703,0.00208,0.79829,0.63137,0.74768,0.34122,2.15053,1.17996,0.00201,0.0016634,0.0016634,0.0016634
19,213.19,1.98824,1.04737,0.00193,0.81036,0.68705,0.79561,0.35577,2.10841,1.07978,0.00204,0.0016436,0.0016436,0.0016436
20,224.539,1.98302,1.06629,0.00196,0.73133,0.70588,0.74749,0.35892,2.02823,1.12735,0.0019,0.0016238,0.0016238,0.0016238
21,235.837,1.86078,1.01675,0.00178,0.8201,0.69721,0.79997,0.36165,2.09102,1.13345,0.00192,0.001604,0.001604,0.001604
22,246.905,1.91395,0.956,0.00188,0.7737,0.67059,0.75162,0.34573,2.11448,1.16327,0.00199,0.0015842,0.0015842,0.0015842
23,257.891,1.89658,0.94475,0.00179,0.83714,0.65098,0.76666,0.36637,2.07247,1.30822,0.00186,0.0015644,0.0015644,0.0015644
24,268.98,1.97037,0.98315,0.00197,0.789,0.69412,0.78551,0.37894,2.03827,1.1448,0.00184,0.0015446,0.0015446,0.0015446
25,279.999,1.92072,0.95197,0.00195,0.80678,0.66667,0.77385,0.37029,2.08202,1.16775,0.00192,0.0015248,0.0015248,0.0015248
26,291.122,1.87891,0.87753,0.00179,0.86919,0.62745,0.76745,0.36086,2.10952,1.1752,0.00196,0.001505,0.001505,0.001505
27,302.089,1.8946,1.03617,0.00177,0.75513,0.72157,0.78701,0.34784,2.13195,1.40938,0.00195,0.0014852,0.0014852,0.0014852
28,312.957,1.90514,1.10227,0.00188,0.78137,0.65872,0.76738,0.35578,2.11577,1.35419,0.00193,0.0014654,0.0014654,0.0014654
29,323.785,1.87795,0.91916,0.00178,0.74712,0.81569,0.82322,0.38514,2.01664,1.06811,0.00193,0.0014456,0.0014456,0.0014456
30,334.833,1.81448,0.88792,0.00175,0.85529,0.72941,0.8126,0.3722,2.10909,1.05989,0.00195,0.0014258,0.0014258,0.0014258
31,345.626,1.78228,0.94043,0.00174,0.79029,0.78323,0.82457,0.3719,2.07738,1.03095,0.00193,0.001406,0.001406,0.001406
32,356.498,1.86096,0.89451,0.00191,0.81924,0.65762,0.76987,0.35818,2.12767,1.26446,0.00199,0.0013862,0.0013862,0.0013862
33,367.303,1.88788,0.948,0.00181,0.83637,0.72163,0.82881,0.38803,2.006,1.02714,0.00184,0.0013664,0.0013664,0.0013664
34,378.227,1.82246,0.84871,0.00176,0.78225,0.71848,0.79064,0.37355,2.06701,1.03111,0.00188,0.0013466,0.0013466,0.0013466
35,389.122,1.77668,0.8504,0.00166,0.78341,0.7376,0.79377,0.38255,2.0133,1.0131,0.00188,0.0013268,0.0013268,0.0013268
36,400.018,1.79615,0.79689,0.00171,0.83347,0.74581,0.84208,0.40017,1.9925,0.95022,0.00186,0.001307,0.001307,0.001307
37,410.885,1.82952,0.84951,0.00174,0.7867,0.67451,0.77664,0.37805,2.07261,1.10157,0.00192,0.0012872,0.0012872,0.0012872
38,421.814,1.74474,0.83237,0.00162,0.78265,0.72941,0.80248,0.37357,2.03866,1.05177,0.00185,0.0012674,0.0012674,0.0012674
39,432.634,1.78306,0.8679,0.00176,0.8072,0.66667,0.76463,0.36762,2.07307,1.04353,0.00195,0.0012476,0.0012476,0.0012476
40,443.639,1.78083,0.83035,0.00166,0.81924,0.71095,0.78945,0.3939,1.9717,1.00617,0.0018,0.0012278,0.0012278,0.0012278
41,454.491,1.82045,0.86491,0.00172,0.83245,0.74037,0.83168,0.39222,2.03875,0.98051,0.0019,0.001208,0.001208,0.001208
42,465.341,1.75782,0.76801,0.00171,0.85416,0.73497,0.84292,0.40776,1.98391,0.94238,0.00188,0.0011882,0.0011882,0.0011882
43,476.175,1.78614,0.77444,0.00173,0.7963,0.76078,0.81937,0.39632,2.0709,0.95632,0.00188,0.0011684,0.0011684,0.0011684
44,486.888,1.75513,0.77014,0.00163,0.74687,0.77523,0.82347,0.40185,2.01884,0.95721,0.00187,0.0011486,0.0011486,0.0011486
45,497.86,1.71059,0.73611,0.00158,0.75126,0.76987,0.81484,0.40818,1.98446,0.96528,0.0018,0.0011288,0.0011288,0.0011288
46,508.83,1.71084,0.71691,0.00156,0.80952,0.73333,0.79935,0.39734,1.98059,1.12713,0.00178,0.001109,0.001109,0.001109
47,519.746,1.71751,0.75847,0.0016,0.76901,0.78333,0.81067,0.39334,1.95353,1.01625,0.00179,0.0010892,0.0010892,0.0010892
48,530.549,1.69694,0.8295,0.00159,0.79083,0.74118,0.79189,0.37973,2.05965,1.09886,0.00193,0.0010694,0.0010694,0.0010694
49,541.509,1.71433,0.70366,0.00157,0.80286,0.78257,0.83181,0.40466,1.99507,0.97906,0.0018,0.0010496,0.0010496,0.0010496
50,552.35,1.71778,0.76083,0.00165,0.86048,0.77395,0.84368,0.39979,2.05268,1.00796,0.00182,0.0010298,0.0010298,0.0010298
51,563.223,1.70982,0.76915,0.00153,0.8151,0.76066,0.82494,0.38255,2.0974,0.99412,0.00188,0.00101,0.00101,0.00101
52,574.023,1.70568,0.69253,0.0016,0.78971,0.79216,0.83135,0.40837,2.01211,0.99003,0.00182,0.0009902,0.0009902,0.0009902
53,584.97,1.63782,0.69227,0.00148,0.78333,0.77255,0.83066,0.40451,1.96618,1.0065,0.00177,0.0009704,0.0009704,0.0009704
54,595.864,1.64489,0.73316,0.00149,0.81655,0.76803,0.83454,0.41478,1.955,0.94407,0.00177,0.0009506,0.0009506,0.0009506
55,606.782,1.62521,0.69164,0.00147,0.83271,0.78039,0.85118,0.42172,1.95941,0.87909,0.00179,0.0009308,0.0009308,0.0009308
56,617.617,1.62053,0.68772,0.00147,0.8752,0.77001,0.85836,0.41726,1.91495,0.90004,0.00175,0.000911,0.000911,0.000911
57,628.512,1.60227,0.63972,0.00149,0.83386,0.75686,0.83741,0.41101,1.95852,1.01821,0.00176,0.0008912,0.0008912,0.0008912
58,639.309,1.6181,0.67021,0.00149,0.82135,0.79329,0.84384,0.40052,2.00055,0.96765,0.0018,0.0008714,0.0008714,0.0008714
59,650.306,1.61371,0.64183,0.00147,0.84059,0.76078,0.82824,0.40089,2.02562,1.03609,0.00186,0.0008516,0.0008516,0.0008516
60,661.079,1.55115,0.63647,0.00142,0.88183,0.72549,0.84637,0.41243,1.99502,1.01482,0.00177,0.0008318,0.0008318,0.0008318
61,671.972,1.56144,0.6161,0.00147,0.82364,0.79608,0.85389,0.41649,1.98935,0.96927,0.00181,0.000812,0.000812,0.000812
62,682.766,1.58068,0.61093,0.00147,0.87215,0.77577,0.85489,0.42905,1.90848,0.99024,0.00168,0.0007922,0.0007922,0.0007922
63,693.697,1.62379,0.62948,0.00148,0.8791,0.73333,0.8384,0.42289,1.94534,1.06704,0.00176,0.0007724,0.0007724,0.0007724
64,704.595,1.55079,0.57359,0.00144,0.84312,0.75872,0.84258,0.42223,2.01758,0.95586,0.00182,0.0007526,0.0007526,0.0007526
65,715.476,1.52638,0.54776,0.00137,0.84058,0.80784,0.84982,0.42292,2.02457,0.96774,0.00184,0.0007328,0.0007328,0.0007328
66,726.273,1.57137,0.55365,0.00132,0.83472,0.81569,0.84892,0.41308,2.00519,0.9523,0.0018,0.000713,0.000713,0.000713
67,737.113,1.53316,0.59226,0.00137,0.84299,0.76863,0.83307,0.41191,1.98155,0.97585,0.00178,0.0006932,0.0006932,0.0006932
68,747.947,1.51043,0.56789,0.00136,0.89321,0.75294,0.84604,0.40787,2.02859,0.96607,0.00186,0.0006734,0.0006734,0.0006734
69,758.939,1.53264,0.5698,0.00137,0.88721,0.76078,0.85742,0.41151,2.02525,0.9384,0.00184,0.0006536,0.0006536,0.0006536
70,769.711,1.49362,0.58448,0.00133,0.88339,0.74269,0.84776,0.41178,1.96763,0.96079,0.00179,0.0006338,0.0006338,0.0006338
71,780.595,1.50954,0.54699,0.00132,0.83993,0.78198,0.85112,0.42449,2.00359,0.90913,0.00179,0.000614,0.000614,0.000614
72,791.381,1.52067,0.56937,0.00134,0.84916,0.79474,0.85036,0.41749,2.01459,0.915,0.00183,0.0005942,0.0005942,0.0005942
73,802.258,1.52513,0.54897,0.00132,0.82078,0.78431,0.84049,0.41434,1.98913,0.92287,0.0018,0.0005744,0.0005744,0.0005744
74,813.142,1.49297,0.56264,0.00137,0.84224,0.81569,0.86109,0.43554,2.00045,0.87336,0.0018,0.0005546,0.0005546,0.0005546
75,824.087,1.44976,0.52587,0.00126,0.85213,0.79097,0.85705,0.42728,2.01689,0.92387,0.00184,0.0005348,0.0005348,0.0005348
76,834.88,1.48525,0.53004,0.00129,0.85271,0.78431,0.85396,0.42635,2.0087,0.94555,0.00184,0.000515,0.000515,0.000515
77,846.158,1.46183,0.53979,0.00125,0.84798,0.76564,0.85247,0.4211,2.03789,0.90429,0.00185,0.0004952,0.0004952,0.0004952
78,857.275,1.4311,0.51621,0.00127,0.82358,0.81176,0.84963,0.41485,2.01253,0.91905,0.00178,0.0004754,0.0004754,0.0004754
