epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6252,2.10411,14.8197,0.00235,0.55455,0.49309,0.5044,0.15876,2.34607,4.19566,0.00229,0.0006621,0.0006621,0.0006621
2,23.1202,2.20263,4.05111,0.00252,0.55483,0.33237,0.33671,0.08405,2.76698,2.24473,0.00295,0.00131561,0.00131561,0.00131561
3,34.2496,2.2064,2.59264,0.00243,0.68056,0.41569,0.49298,0.19176,2.24648,2.33396,0.00204,0.00195592,0.00195592,0.00195592
4,45.5649,2.23587,2.36436,0.00249,0.64579,0.24706,0.31407,0.09287,2.60885,3.13471,0.00275,0.0019406,0.0019406,0.0019406
5,56.6917,2.09801,2.08842,0.00242,0.62273,0.51137,0.55789,0.1842,2.43504,1.73083,0.00246,0.0019208,0.0019208,0.0019208
6,67.8322,2.07169,1.64599,0.00222,0.67989,0.61176,0.65573,0.21764,2.47626,1.52899,0.0024,0.001901,0.001901,0.001901
7,79.1118,2.0595,1.60606,0.00227,0.70101,0.58431,0.64318,0.24231,2.33042,1.3982,0.00227,0.0018812,0.0018812,0.0018812
8,90.36,2.05096,1.49375,0.00226,0.7365,0.60392,0.69268,0.28302,2.16313,1.32449,0.00208,0.0018614,0.0018614,0.0018614
9,101.538,2.07235,1.30523,0.00224,0.79101,0.61961,0.69854,0.24806,2.41305,1.45554,0.0024,0.0018416,0.0018416,0.0018416
10,112.767,2.09804,1.454,0.00224,0.66428,0.51989,0.60737,0.25176,2.31523,1.755,0.00225,0.0018218,0.0018218,0.0018218
11,123.863,2.02101,1.33809,0.00214,0.73115,0.58431,0.68358,0.26703,2.23934,1.42553,0.00226,0.001802,0.001802,0.001802
12,135.161,2.00653,1.36581,0.00226,0.69047,0.5861,0.65619,0.2874,2.20007,1.61726,0.00207,0.0017822,0.0017822,0.0017822
13,146.341,1.93195,1.33786,0.00206,0.73746,0.6549,0.71279,0.25146,2.40216,1.27627,0.00236,0.0017624,0.0017624,0.0017624
14,157.548,2.02954,1.23036,0.00227,0.78649,0.63137,0.71488,0.30171,2.25214,1.2611,0.00214,0.0017426,0.0017426,0.0017426
15,168.725,1.9809,1.35062,0.00212,0.76539,0.64706,0.73079,0.27861,2.2672,1.31355,0.00223,0.0017228,0.0017228,0.0017228
16,179.875,1.99721,1.31295,0.0022,0.70738,0.61176,0.67586,0.2511,2.30813,1.3717,0.0022,0.001703,0.001703,0.001703
17,191.05,2.01267,1.30643,0.00219,0.74114,0.69612,0.72096,0.3053,2.14147,1.32142,0.00199,0.0016832,0.0016832,0.0016832
18,202.251,2.01212,1.22087,0.00217,0.74814,0.67451,0.74837,0.29811,2.21715,1.18875,0.00219,0.0016634,0.0016634,0.0016634
19,213.202,1.90898,1.15661,0.00205,0.80172,0.61569,0.7537,0.33258,2.11784,1.16013,0.00192,0.0016436,0.0016436,0.0016436
20,224.219,1.94873,1.13387,0.00215,0.76208,0.63137,0.72646,0.29765,2.24537,1.23834,0.00211,0.0016238,0.0016238,0.0016238
21,235.136,1.89372,1.10012,0.00199,0.80138,0.63289,0.72037,0.27515,2.34665,1.21597,0.00224,0.001604,0.001604,0.001604
22,246.201,1.93617,1.12048,0.00211,0.75188,0.6902,0.75923,0.35263,2.08361,1.16098,0.00188,0.0015842,0.0015842,0.0015842
