epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3135,1.76557,23.872,0.00178,0.53106,0.35686,0.35638,0.13675,2.30165,2.4685,0.00215,0.000664384,0.000664384,0.000664384
2,40.7111,1.87598,4.34585,0.00193,0.61324,0.47878,0.5209,0.19432,2.39685,2.69914,0.00228,0.00131787,0.00131787,0.00131787
3,58.2872,2.04504,2.65112,0.00212,0.4901,0.43137,0.42726,0.16926,2.30699,2.11474,0.00214,0.00195816,0.00195816,0.00195816
4,75.4045,2.11448,1.82848,0.00226,0.41245,0.34118,0.27698,0.06897,2.8723,2.36948,0.00271,0.0019406,0.0019406,0.0019406
5,92.5014,2.14226,1.59659,0.00229,0.51017,0.39608,0.40794,0.17178,2.43037,2.09641,0.00226,0.0019208,0.0019208,0.0019208
6,109.459,1.9851,1.56944,0.00207,0.54138,0.38431,0.41933,0.1595,2.39744,2.27651,0.00225,0.001901,0.001901,0.001901
7,126.376,2.01544,1.64693,0.00209,0.6227,0.33725,0.39383,0.14102,2.52881,2.50057,0.00252,0.0018812,0.0018812,0.0018812
8,143.039,1.90439,1.30915,0.00198,0.61329,0.51765,0.55594,0.21306,2.40491,1.65552,0.00231,0.0018614,0.0018614,0.0018614
9,159.737,1.93941,1.18382,0.00201,0.56919,0.39608,0.46113,0.15423,2.40827,2.29754,0.00247,0.0018416,0.0018416,0.0018416
10,176.133,1.92257,1.25651,0.00205,0.65454,0.53333,0.59091,0.25633,2.23173,1.67004,0.00207,0.0018218,0.0018218,0.0018218
11,192.731,1.91475,1.11878,0.002,0.71021,0.50938,0.59268,0.2626,2.27431,1.60602,0.00215,0.001802,0.001802,0.001802
12,209.925,1.90281,1.17723,0.00202,0.74475,0.51765,0.57586,0.21988,2.27437,1.97267,0.00218,0.0017822,0.0017822,0.0017822
13,226.868,1.83947,1.0842,0.00194,0.65411,0.62295,0.64274,0.28981,2.16266,1.49881,0.00205,0.0017624,0.0017624,0.0017624
14,244.025,1.74034,1.03397,0.00176,0.71256,0.47451,0.60505,0.28122,2.09268,1.59228,0.00198,0.0017426,0.0017426,0.0017426
15,261.119,1.75444,0.97779,0.00177,0.76607,0.48802,0.57434,0.23742,2.33542,1.92023,0.00224,0.0017228,0.0017228,0.0017228
16,278.231,1.7467,0.869,0.00176,0.74619,0.50196,0.63352,0.30745,2.08547,1.97526,0.00189,0.001703,0.001703,0.001703
17,295.19,1.78277,0.9792,0.00178,0.71887,0.49804,0.5558,0.24977,2.29638,1.85502,0.00218,0.0016832,0.0016832,0.0016832
18,312.245,1.75502,1.00083,0.00176,0.71288,0.5098,0.57248,0.27208,2.13668,1.75491,0.00203,0.0016634,0.0016634,0.0016634
19,329.072,1.74524,0.9653,0.00175,0.77577,0.54269,0.61355,0.26408,2.22341,1.58526,0.00209,0.0016436,0.0016436,0.0016436
20,345.711,1.74314,0.975,0.00172,0.70041,0.53175,0.62804,0.30329,2.11825,1.57709,0.00189,0.0016238,0.0016238,0.0016238
21,362.437,1.72098,0.90802,0.00173,0.65186,0.64314,0.66888,0.29458,2.10197,1.39622,0.00198,0.001604,0.001604,0.001604
22,378.946,1.73894,0.92061,0.00181,0.81041,0.50288,0.6285,0.28969,2.17857,1.60576,0.00201,0.0015842,0.0015842,0.0015842
23,395.444,1.72839,0.87762,0.00175,0.72732,0.52157,0.60542,0.28855,2.10775,1.83053,0.00193,0.0015644,0.0015644,0.0015644
