epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.196,1.75039,16.4319,0.00179,0.66958,0.47843,0.54693,0.22787,2.01535,4.14101,0.00186,0.000664384,0.000664384,0.000664384
2,43.328,1.81147,3.79804,0.00185,0.7189,0.38112,0.51568,0.19463,2.07639,2.23786,0.00194,0.00131787,0.00131787,0.00131787
3,61.65,1.8953,2.52769,0.00193,0.58796,0.45882,0.44169,0.15732,2.4378,1.92902,0.00234,0.00195816,0.00195816,0.00195816
4,79.6341,1.96312,1.67487,0.00206,0.67318,0.46667,0.53542,0.22207,2.31238,2.02925,0.00229,0.0019406,0.0019406,0.0019406
5,97.6881,1.99129,1.72753,0.00218,0.67402,0.49463,0.54709,0.20498,2.34411,1.88353,0.00256,0.0019208,0.0019208,0.0019208
6,115.826,1.90397,1.57811,0.00205,0.5532,0.48627,0.46502,0.14755,2.31896,2.23784,0.00243,0.001901,0.001901,0.001901
7,133.916,1.88906,1.55427,0.00196,0.70203,0.45274,0.56435,0.2605,2.19456,1.86961,0.00201,0.0018812,0.0018812,0.0018812
8,152.114,1.80842,1.31842,0.00186,0.64938,0.60784,0.65869,0.28451,2.15694,1.54222,0.00205,0.0018614,0.0018614,0.0018614
9,170.225,1.81636,1.36179,0.00185,0.81367,0.58431,0.72562,0.33645,2.08164,1.68862,0.00192,0.0018416,0.0018416,0.0018416
10,188.285,1.72339,1.27356,0.00174,0.71688,0.66275,0.72097,0.3095,2.07791,1.63739,0.00194,0.0018218,0.0018218,0.0018218
11,206.301,1.77768,1.06798,0.00182,0.70505,0.54902,0.66614,0.32113,2.04582,1.79468,0.00188,0.001802,0.001802,0.001802
12,224.35,1.73938,1.31701,0.00174,0.73878,0.64329,0.71169,0.32315,2.11178,1.43154,0.00199,0.0017822,0.0017822,0.0017822
